feature,star neighbors
0,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
1,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
2,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
3,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
4,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
5,22 31 32 34 35 61 62 63 64 65 66 67
6,43 44 48 80
7,43 44 48 80
8,43 44 48 80
9,43 44 48 80
10,43 44 48 80
11,43 44 48 80
12,22 31 32 34 35 61 62 63 64 65 66 67
13,22 31 32 34 35 61 62 63 64 65 66 67
14,22 31 32 34 35 61 62 63 64 65 66 67
15,22 31 32 34 35 61 62 63 64 65 66 67
16,22 31 32 34 35 61 62 63 64 65 66 67
17,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
18,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
19,68
20,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
21,23 24 25 26 27 28 29 36 37 38 49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
22,61 62 63 64 65 66 67
23,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
24,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
25,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
26,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
27,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
28,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
29,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
30,
31,61 62 63 64 65 66 67
32,61 62 63 64 65 66 67
33,
34,61 62 63 64 65 66 67
35,61 62 63 64 65 66 67
36,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
37,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
38,49 50 51 52 53 54 55 56 57 58 59 60 70 71 72 73 74 75 76 77 78 79
39,
40,
41,
42,
43,44 48 80
44,80
45,69
46,69
47,69
48,80
49,70 71 72 73 74 75 76 77 78 79
50,70 71 72 73 74 75 76 77 78 79
51,70 71 72 73 74 75 76 77 78 79
52,70 71 72 73 74 75 76 77 78 79
53,70 71 72 73 74 75 76 77 78 79
54,70 71 72 73 74 75 76 77 78 79
55,70 71 72 73 74 75 76 77 78 79
56,70 71 72 73 74 75 76 77 78 79
57,70 71 72 73 74 75 76 77 78 79
58,70 71 72 73 74 75 76 77 78 79
59,70 71 72 73 74 75 76 77 78 79
60,70 71 72 73 74 75 76 77 78 79
61,64 65 66 67
62,64 65 66 67
63,64 65 66 67
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
